article_id,year,n_kw_matches,matched_kws
2021E222T057,2021,8,sucho; povodně; záplavy; extrémní sucho; lesní požár
2016E269A001,2016,8,sucho; povodně; povodeň; vlna veder; nedostatek vody
2019E277T053,2019,7,sucho; povodně; povodeň; kůrovec; lesní požár
2019E205A060,2019,6,vlna veder; vedro; lesní požár; lesní požáry; plameny
2019E205T050,2019,6,vlna veder; vedro; lesní požár; lesní požáry; plameny
2019E207T047,2019,6,vlna veder; vedro; lesní požár; lesní požáry; plameny
2021E223A067,2021,6,sucho; vlna veder; lesní požár; lesní požáry; plameny
2015E303T054,2015,6,sucho; povodně; povodeň; záplavy; lesní požár
2021E180A060,2021,6,sucho; povodně; vlna veder; vedro; extrémní počasí
2016E139T050,2016,5,sucho; povodně; povodeň; kůrovec; hasiči
2019E213T041,2019,5,povodně; záplavy; lesní požár; lesní požáry; plameny
2019E340A007,2019,5,sucho; extrémní sucho; lesní požár; lesní požáry; hasiči
2018E219T067,2018,5,sucho; povodně; vlna veder; extrémní počasí; lesní požár
2019E353T058,2019,5,sucho; povodně; vlna veder; vedro; extrémní sucho
2020E170T044,2020,5,sucho; povodně; povodeň; nedostatek vody; kůrovec
2017E253T005,2017,5,sucho; povodně; povodeň; extrémní sucho; kůrovec
2020E051T074,2020,5,sucho; povodně; záplavy; lesní požár; lesní požáry
2018E194T025,2018,5,povodně; záplavy; vedro; extrémní počasí; plameny
2021E238T056,2021,5,povodně; vlna veder; extrémní počasí; lesní požár; lesní požáry
2021E197T068,2021,5,sucho; povodně; povodeň; záplavy; hasiči
2019E205A004,2019,5,sucho; vlna veder; vedro; plameny; hasiči
2019E114T074,2019,5,sucho; extrémní sucho; nedostatek vody; zásoby vody; zemědělské sucho
2018E287A024,2018,4,sucho; extrémní sucho; lesní požár; lesní požáry
2017E177T058,2017,4,sucho; povodně; záplavy; zemědělské sucho
2015E202A009,2015,4,sucho; vlna veder; vedro; nedostatek vody
2022E007T060,2022,4,sucho; povodeň; extrémní sucho; nedostatek vody
