year,Code,income,n_docs,n_mentions
2012,CZE,High income,4781,4781
2012,DEU,High income,669,669
2012,USA,High income,484,484
2012,POL,High income,452,452
2012,SVK,High income,383,383
2012,AUT,High income,287,287
2012,RUS,Upper middle income,249,249
2012,FRA,High income,216,216
2012,GBR,High income,203,203
2012,ITA,High income,178,178
2012,CHN,Upper middle income,141,141
2012,ESP,High income,135,135
2012,GRC,High income,126,126
2012,JPN,High income,126,126
2012,CHE,High income,109,109
2012,HRV,High income,97,97
2012,HUN,High income,89,89
2012,CUB,Upper middle income,83,83
2012,IND,Lower middle income,67,67
2012,SWE,High income,59,59
2012,NOR,High income,54,54
2012,SYR,Low income,50,50
2012,BEL,High income,47,47
2012,ISR,High income,47,47
2012,IRN,Lower middle income,44,44
2012,BGR,Upper middle income,43,43
2012,ROU,High income,43,43
2012,TUR,Upper middle income,43,43
2012,BRA,Upper middle income,35,35
2012,UKR,Lower middle income,32,32
2012,AFG,Low income,29,29
2012,IRL,High income,26,26
2012,DNK,High income,25,25
2012,EGY,Lower middle income,25,25
2012,IRQ,Upper middle income,24,24
2012,AUS,High income,23,23
2012,FIN,High income,22,22
2012,CAN,High income,20,20
2012,SRB,Upper middle income,20,20
2012,NLD,High income,18,18
2012,SAU,High income,16,16
2012,BLR,Upper middle income,15,15
2012,PRT,High income,15,15
2012,LBY,Upper middle income,14,14
2012,MEX,Upper middle income,14,14
2012,LBN,Lower middle income,12,12
2012,CHL,High income,10,10
2012,KOR,High income,10,10
2012,PRK,Low income,10,10
2012,MNE,Upper middle income,9,9
2012,SVN,High income,9,9
2012,CYP,High income,8,8
2012,DMA,Upper middle income,8,8
2012,ISL,High income,8,8
2012,NGA,Lower middle income,8,8
2012,PSE,Upper middle income,8,8
2012,ZAF,Upper middle income,8,8
2012,ALB,Upper middle income,7,7
2012,HTI,Lower middle income,7,7
2012,IMN,High income,7,7
2012,NZL,High income,7,7
2012,VNM,Lower middle income,7,7
2012,GEO,Upper middle income,6,6
2012,HKG,High income,5,5
2012,SYC,High income,5,5
2012,ARE,High income,4,4
2012,ETH,Low income,4,4
2012,KAZ,Upper middle income,4,4
2012,MMR,Lower middle income,4,4
2012,PAK,Lower middle income,4,4
2012,PER,Upper middle income,4,4
2012,QAT,High income,4,4
2012,THA,Upper middle income,4,4
2012,VEN,Unknown,4,4
2012,ARG,Upper middle income,3,3
2012,COL,Upper middle income,3,3
2012,GRL,High income,3,3
2012,GTM,Upper middle income,3,3
2012,KHM,Lower middle income,3,3
2012,LTU,High income,3,3
2012,SGP,High income,3,3
2012,TWN,High income,3,3
2012,VGB,High income,3,3
2012,XKX,Upper middle income,3,3
2012,ZWE,Lower middle income,3,3
2012,AGO,Lower middle income,2,2
2012,BIH,Upper middle income,2,2
2012,COD,Low income,2,2
2012,DOM,Upper middle income,2,2
2012,EST,High income,2,2
2012,GMB,Low income,2,2
2012,IDN,Upper middle income,2,2
2012,LIE,High income,2,2
2012,LKA,Lower middle income,2,2
2012,MCO,High income,2,2
2012,MDA,Upper middle income,2,2
2012,MNG,Lower middle income,2,2
2012,SOM,Low income,2,2
2012,TUN,Lower middle income,2,2
2012,BHS,High income,1,1
2012,CRI,Upper middle income,1,1
2012,DZA,Lower middle income,1,1
2012,ECU,Upper middle income,1,1
2012,GIB,High income,1,1
2012,JOR,Lower middle income,1,1
2012,KEN,Lower middle income,1,1
2012,LAO,Lower middle income,1,1
2012,LUX,High income,1,1
2012,MDG,Low income,1,1
2012,MLT,High income,1,1
2012,MYS,Upper middle income,1,1
2012,OMN,High income,1,1
2012,PHL,Lower middle income,1,1
2012,SDN,Low income,1,1
2012,SLE,Low income,1,1
2012,SLV,Upper middle income,1,1
2012,SSD,Low income,1,1
2012,TCA,High income,1,1
2012,VAT,Unknown,1,1
2012,YEM,Low income,1,1
2012,ZMB,Lower middle income,1,1
2013,CZE,High income,4195,4195
2013,DEU,High income,594,594
2013,USA,High income,427,427
2013,SVK,High income,332,332
2013,POL,High income,244,244
2013,AUT,High income,234,234
2013,RUS,Upper middle income,198,198
2013,FRA,High income,187,187
2013,GBR,High income,166,166
2013,ITA,High income,141,141
2013,ESP,High income,116,116
2013,CHN,Upper middle income,98,98
2013,HUN,High income,93,93
2013,CHE,High income,87,87
2013,JPN,High income,87,87
2013,CUB,Upper middle income,82,82
2013,GRC,High income,71,71
2013,SWE,High income,67,67
2013,HRV,High income,62,62
2013,TUR,Upper middle income,62,62
2013,IND,Lower middle income,56,56
2013,SYR,Low income,56,56
2013,BGR,Upper middle income,47,47
2013,EGY,Lower middle income,37,37
2013,DNK,High income,35,35
2013,ROU,High income,34,34
2013,BEL,High income,31,31
2013,ISR,High income,29,29
2013,AUS,High income,28,28
2013,BRA,Upper middle income,27,27
2013,IRL,High income,26,26
2013,IRQ,Upper middle income,25,25
2013,AFG,Low income,24,24
2013,CYP,High income,24,24
2013,KOR,High income,23,23
2013,SRB,Upper middle income,20,20
2013,NLD,High income,18,18
2013,CAN,High income,17,17
2013,NOR,High income,17,17
2013,SAU,High income,17,17
2013,MEX,Upper middle income,16,16
2013,FIN,High income,15,15
2013,IRN,Lower middle income,14,14
2013,COL,Upper middle income,13,13
2013,LBN,Lower middle income,12,12
2013,LBY,Upper middle income,12,12
2013,MNE,Upper middle income,11,11
2013,PHL,Lower middle income,11,11
2013,PSE,Upper middle income,11,11
2013,CHL,High income,10,10
2013,IDN,Upper middle income,10,10
2013,PRK,Low income,10,10
2013,DMA,Upper middle income,9,9
2013,UKR,Lower middle income,9,9
2013,BLR,Upper middle income,8,8
2013,ISL,High income,8,8
2013,PER,Upper middle income,8,8
2013,PRT,High income,8,8
2013,ARG,Upper middle income,7,7
2013,EST,High income,7,7
2013,MKD,Upper middle income,7,7
2013,MLI,Low income,7,7
2013,VAT,Unknown,7,7
2013,ALB,Upper middle income,6,6
2013,LUX,High income,5,5
2013,NGA,Lower middle income,5,5
2013,NZL,High income,5,5
2013,PAK,Lower middle income,5,5
2013,ZAF,Upper middle income,5,5
2013,LVA,High income,4,4
2013,MDA,Upper middle income,4,4
2013,SOM,Low income,4,4
2013,VEN,Unknown,4,4
2013,BLZ,Upper middle income,3,3
2013,CMR,Lower middle income,3,3
2013,ETH,Low income,3,3
2013,GEO,Upper middle income,3,3
2013,GIB,High income,3,3
2013,HTI,Lower middle income,3,3
2013,JOR,Lower middle income,3,3
2013,KEN,Lower middle income,3,3
2013,KHM,Lower middle income,3,3
2013,LTU,High income,3,3
2013,MYS,Upper middle income,3,3
2013,SVN,High income,3,3
2013,ARE,High income,2,2
2013,ARM,Upper middle income,2,2
2013,DOM,Upper middle income,2,2
2013,DZA,Lower middle income,2,2
2013,ECU,Upper middle income,2,2
2013,GMB,Low income,2,2
2013,IMN,High income,2,2
2013,LAO,Lower middle income,2,2
2013,LIE,High income,2,2
2013,MMR,Lower middle income,2,2
2013,NPL,Lower middle income,2,2
2013,SGP,High income,2,2
2013,SYC,High income,2,2
2013,THA,Upper middle income,2,2
2013,TLS,Lower middle income,2,2
2013,TUN,Lower middle income,2,2
2013,TWN,High income,2,2
2013,VNM,Lower middle income,2,2
2013,XKX,Upper middle income,2,2
2013,BGD,Lower middle income,1,1
2013,BHS,High income,1,1
2013,BWA,Upper middle income,1,1
2013,COD,Low income,1,1
2013,CRI,Upper middle income,1,1
2013,GTM,Upper middle income,1,1
2013,HND,Lower middle income,1,1
2013,KAZ,Upper middle income,1,1
2013,LKA,Lower middle income,1,1
2013,MAR,Lower middle income,1,1
2013,MHL,Upper middle income,1,1
2013,MLT,High income,1,1
2013,MNG,Lower middle income,1,1
2013,MUS,Upper middle income,1,1
2013,NAM,Upper middle income,1,1
2013,NIC,Lower middle income,1,1
2013,NRU,High income,1,1
2013,PAN,High income,1,1
2013,QAT,High income,1,1
2013,SDN,Low income,1,1
2013,SLV,Upper middle income,1,1
2013,SMR,High income,1,1
2013,URY,High income,1,1
2013,UZB,Lower middle income,1,1
2013,VGB,High income,1,1
2013,WSM,Lower middle income,1,1
2013,YEM,Low income,1,1
2013,ZWE,Lower middle income,1,1
2014,CZE,High income,4324,4324
2014,DEU,High income,579,579
2014,USA,High income,530,530
2014,RUS,Upper middle income,465,465
2014,UKR,Lower middle income,345,345
2014,SVK,High income,321,321
2014,POL,High income,319,319
2014,AUT,High income,267,267
2014,GBR,High income,202,202
2014,FRA,High income,182,182
2014,ITA,High income,112,112
2014,CHN,Upper middle income,109,109
2014,ESP,High income,100,100
2014,HUN,High income,92,92
2014,CHE,High income,79,79
2014,SYR,Low income,72,72
2014,ISR,High income,67,67
2014,GRC,High income,66,66
2014,IRQ,Upper middle income,62,62
2014,TUR,Upper middle income,59,59
2014,HRV,High income,58,58
2014,JPN,High income,54,54
2014,PSE,Upper middle income,52,52
2014,SWE,High income,50,50
2014,NOR,High income,47,47
2014,BEL,High income,44,44
2014,DNK,High income,44,44
2014,ROU,High income,42,42
2014,SRB,Upper middle income,41,41
2014,BLR,Upper middle income,40,40
2014,IRN,Lower middle income,40,40
2014,CAN,High income,38,38
2014,AUS,High income,37,37
2014,FIN,High income,32,32
2014,AFG,Low income,31,31
2014,NLD,High income,31,31
2014,IND,Lower middle income,30,30
2014,BGR,Upper middle income,28,28
2014,SAU,High income,28,28
2014,BRA,Upper middle income,27,27
2014,KOR,High income,22,22
2014,EGY,Lower middle income,20,20
2014,IRL,High income,18,18
2014,CUB,Upper middle income,16,16
2014,LBY,Upper middle income,15,15
2014,MEX,Upper middle income,14,14
2014,SVN,High income,13,13
2014,CHL,High income,12,12
2014,DMA,Upper middle income,11,11
2014,IMN,High income,11,11
2014,HKG,High income,10,10
2014,LTU,High income,10,10
2014,MLI,Low income,10,10
2014,PRK,Low income,10,10
2014,CYP,High income,9,9
2014,KAZ,Upper middle income,9,9
2014,JOR,Lower middle income,8,8
2014,ALB,Upper middle income,7,7
2014,PRT,High income,7,7
2014,QAT,High income,7,7
2014,VAT,Unknown,7,7
2014,BIH,Upper middle income,6,6
2014,EST,High income,6,6
2014,GEO,Upper middle income,6,6
2014,NGA,Lower middle income,6,6
2014,BHR,High income,5,5
2014,ISL,High income,5,5
2014,LIE,High income,5,5
2014,LUX,High income,5,5
2014,MDA,Upper middle income,5,5
2014,MKD,Upper middle income,5,5
2014,VEN,Unknown,5,5
2014,XKX,Upper middle income,5,5
2014,LVA,High income,4,4
2014,MCO,High income,4,4
2014,MLT,High income,4,4
2014,PHL,Lower middle income,4,4
2014,THA,Upper middle income,4,4
2014,IDN,Upper middle income,3,3
2014,KWT,High income,3,3
2014,LBN,Lower middle income,3,3
2014,LBR,Low income,3,3
2014,MNE,Upper middle income,3,3
2014,PAN,High income,3,3
2014,TWN,High income,3,3
2014,UZB,Lower middle income,3,3
2014,VNM,Lower middle income,3,3
2014,ARG,Upper middle income,2,2
2014,CAF,Low income,2,2
2014,CMR,Lower middle income,2,2
2014,COL,Upper middle income,2,2
2014,ECU,Upper middle income,2,2
2014,HND,Lower middle income,2,2
2014,LAO,Lower middle income,2,2
2014,PER,Upper middle income,2,2
2014,SLV,Upper middle income,2,2
2014,SOM,Low income,2,2
2014,TJK,Lower middle income,2,2
2014,ZAF,Upper middle income,2,2
2014,AGO,Lower middle income,1,1
2014,ARE,High income,1,1
2014,AZE,Upper middle income,1,1
2014,BGD,Lower middle income,1,1
